Order ID,Purchase Date,Ship Date,Return Date,Returned,Continent,Country,City,Store ID,Store Name,Store Type,Channel,Priority,Payment Method,Promotion ID,Promotion Name,Customer ID,Customer Segment,Loyalty Tier,Salesperson ID,Salesperson Department,Product ID,Brand,Product Name,Category,Subcategory,SKU,Quantity,Unit Cost,Unit Price,Discount Amount,Tax Amount,Shipping Cost,Gross Sales,Net Sales,COGS,Gross Profit
O900000,2024-10-20,2024-10-24,2024-02-02,No,Africa,Kenya,Kisumu,S008,Tech & Home - Kisumu,Warehouse,Online,Normal,Card,LOYALTY5,Loyalty 5%,C00776,Family,Bronze,E0052,Corporate,P0141,Local,Local Beverages Eco,Grocery,Beverages,SKU-100140,4,11,13,4,7,0,52,48,44,4
O900001,2024-02-16,2024-05-01,2024-04-09,Yes,Europe,United Kingdom,London,S016,Everyday Store - London,Mall,In-Store,Low,Cash,BUNDLE12,Bundle 12%,C00037,Student,Silver,E0014,New Sales,P0168,Russell Hobbs,Russell Hobbs Kitchen Premium,Home,Kitchen,SKU-100167,1,905,1099,747,292,60,4396,3649,3620,29
O900002,2024-04-24,2024-11-27,2024-09-04,,North America,United States,Chicago,S017,ValueMart - London,High Street,Partner,High,EFT,NONE,No Promotion,C00424,Budget,Gold,E0059,Upgrades,P0144,Belkin,Belkin Accessories Basic,Electronics,Accessories,SKU-100143,2,824,1431,243,95,45,1431,1188,824,364
O900003,2024-11-20,2024-05-15,2024-03-20,,,South Africa,Cape Town,S012,Main Street Retail - Chicago,Outlet,,,Wallet,WEEKEND10,Weekend 10%,C00234,Enterprise,None,E0013,Customer Care,P0116,Bosch,Bosch Appliances Value,Clothing,Appliances,SKU-100115,3,1070,1402,393,193,30,2804,2411,2140,271
O900004,2024-05-10,2024-10-30,2024-07-09,,,,Mombasa,S002,Everyday Store - Cape Town,,,,Finance,CLEARANCE15,Clearance 15%,C01009,Business,,E0018,,P0043,LG,LG Appliances Premium,,Women,SKU-100042,,144,199,6,29,80,199,193,144,49
O900005,2024-03-04,2025-01-02,2024-03-19,,,,Pretoria,S007,Tech & Home - Mombasa,,,,,,,C00221,,,E0054,,P0087,Anker,Local Women Value (S),,Phones,SKU-100086,,89,131,42,72,,524,482,356,126
O900006,2024-10-26,2024-03-26,2024-05-14,,,,Austin,S005,ValueMart - Pretoria,,,,,,,C01022,,,E0001,,P0035,Logitech,Anker Accessories Max,,Tablets,SKU-100034,,925,1341,805,365,,5364,4559,3700,859
O900007,2024-12-20,2024-11-02,2024-02-12,,,,Manchester,S011,City Outlet - Austin,,,,,,,C00794,,,E0042,,P0027,Google,Logitech Accessories Air,,Snacks,SKU-100026,,1215,2068,993,1092,,8272,7279,4860,2419
O900008,2024-09-19,2024-09-17,2024-10-11,,,,Birmingham,S018,ValueMart - Manchester,,,,,,,C00928,,,E0026,,P0076,Apple,Belkin Accessories Plus,,Household,SKU-100075,,1268,1760,246,121,,1760,1514,1268,246
O900009,2024-12-10,2024-03-03,2024-09-09,,,,Johannesburg,S021,Main Street Retail - Birmingham,,,,,,,C00446,,,E0046,,P0162,Samsung,Google Phones Air,,Kids,SKU-100161,,1068,1278,192,87,,1278,1086,1068,18
